 ,就業人數(千人),失業率(%)
2012M01,10808,4.18
2012M02,10790,4.25
2012M03,10806,4.17
2012M04,10818,4.1
2012M05,10834,4.12
2012M06,10854,4.21
2012M07,10883,4.31
2012M08,10901,4.4
2012M09,10878,4.32
2012M10,10897,4.33
2012M11,10918,4.27
2012M12,10931,4.18
2013M01,10935,4.16
2013M02,10915,4.24
2013M03,10921,4.17
2013M04,10929,4.07
2013M05,10939,4.06
2013M06,10959,4.14
2013M07,10984,4.25
2013M08,11000,4.33
2013M09,10980,4.24
2013M10,10996,4.24
2013M11,11019,4.16
2013M12,11029,4.08
2014M01,11036,4.02
2014M02,11019,4.09
2014M03,11027,4.03
2014M04,11040,3.91
2014M05,11052,3.85
2014M06,11062,3.92
2014M07,11091,4.02
2014M08,11110,4.08
2014M09,11099,3.96
2014M10,11120,3.95
2014M11,11137,3.89
2014M12,11151,3.79
2015M01,11159,3.71
2015M02,11160,3.69
2015M03,11162,3.72
2015M04,11170,3.63
2015M05,11179,3.62
2015M06,11185,3.71
2015M07,11211,3.82
2015M08,11230,3.9
2015M09,11213,3.89
2015M10,11225,3.9
2015M11,11235,3.91
2015M12,11242,3.87
2016M01,11244,3.87
2016M02,11231,3.95
2016M03,11237,3.89
2016M04,11242,3.86
2016M05,11247,3.84
2016M06,11251,3.92
2016M07,11275,4.02
2016M08,11290,4.08
2016M09,11276,3.99
2016M10,11291,3.95
2016M11,11307,3.87
2016M12,11315,3.79
2017M01,11320,3.78
2017M02,11307,3.85
2017M03,11313,3.78
2017M04,11325,3.67
2017M05,11331,3.66
2017M06,11337,3.74
2017M07,11360,3.84
2017M08,11377,3.89
2017M09,11366,3.77
2017M10,11382,3.75
2017M11,11398,3.71
2017M12,11405,3.66
2018M01,11409,3.63
2018M02,11397,3.7
2018M03,11403,3.66
2018M04,11406,3.64
2018M05,11411,3.63
2018M06,11418,3.7
2018M07,11443,3.81
2018M08,11459,3.87
2018M09,11449,3.76
2018M10,11460,3.75
2018M11,11475,3.7
2018M12,11481,3.66
2019M01,11485,3.64
2019M02,11473,3.72
2019M03,11478,3.68
2019M04,11480,3.67
2019M05,11484,3.67
2019M06,11488,3.73
2019M07,11511,3.82
2019M08,11526,3.89
2019M09,11507,3.8
2019M10,11517,3.77
2019M11,11526,3.73
2019M12,11531,3.67
2020M01,11536,3.64
2020M02,11523,3.7
2020M03,11513,3.72
2020M04,11467,4.03
2020M05,11462,4.07
2020M06,11477,3.96
2020M07,11498,4
2020M08,11507,3.99
2020M09,11504,3.83
2020M10,11510,3.8
2020M11,11520,3.75
2020M12,11527,3.68
2021M01,11527,3.66
2021M02,11514,3.7
2021M03,11521,3.67
2021M04,11524,3.64
2021M05,11398,4.11
2021M06,11301,4.8
2021M07,11364,4.53
2021M08,11399,4.24
2021M09,11417,3.96
2021M10,11445,3.83
2021M11,11477,3.66
2021M12,11480,3.64
2022M01,11474,3.61
