,景氣對策信號(分),領先指標綜合指數(點)
12-Jan,13,89.4
12-Feb,15,90.18
12-Mar,14,90.68
12-Apr,14,90.93
12-May,15,91.01
12-Jun,15,91
12-Jul,16,90.96
12-Aug,15,90.97
12-Sep,20,91.12
12-Oct,19,91.42
12-Nov,21,91.97
12-Dec,22,92.73
13-Jan,19,93.57
13-Feb,20,94.4
13-Mar,18,95.14
13-Apr,17,95.73
13-May,19,96.12
13-Jun,23,96.37
13-Jul,20,96.56
13-Aug,20,96.75
13-Sep,20,97.07
13-Oct,21,97.6
13-Nov,21,98.31
13-Dec,24,99.14
14-Jan,22,100.01
14-Feb,25,100.66
14-Mar,25,101.08
14-Apr,29,101.3
14-May,24,101.31
14-Jun,26,101.17
14-Jul,27,100.97
14-Aug,29,100.68
14-Sep,27,100.35
14-Oct,24,100.07
14-Nov,25,99.95
14-Dec,22,99.97
15-Jan,23,100.04
15-Feb,24,100.04
15-Mar,22,99.93
15-Apr,16,99.75
15-May,18,99.54
15-Jun,16,99.34
15-Jul,14,99.12
15-Aug,14,98.91
15-Sep,14,98.74
15-Oct,15,98.65
15-Nov,15,98.63
15-Dec,14,98.7
16-Jan,14,98.87
16-Feb,16,99.11
16-Mar,16,99.45
16-Apr,17,99.86
16-May,20,100.39
16-Jun,20,101.01
16-Jul,23,101.71
16-Aug,25,102.42
16-Sep,23,103.1
16-Oct,24,103.7
16-Nov,26,104.17
16-Dec,28,104.57
17-Jan,29,104.96
17-Feb,28,105.27
17-Mar,24,105.46
17-Apr,21,105.6
17-May,20,105.78
17-Jun,22,106.01
17-Jul,22,106.28
17-Aug,25,106.56
17-Sep,28,106.86
17-Oct,23,107.19
17-Nov,23,107.54
17-Dec,22,107.84
18-Jan,20,108.09
18-Feb,24,108.35
18-Mar,23,108.67
18-Apr,26,109.02
18-May,29,109.3
18-Jun,22,109.41
18-Jul,26,109.37
18-Aug,24,109.18
18-Sep,22,108.91
18-Oct,22,108.67
18-Nov,17,108.63
18-Dec,16,108.91
19-Jan,20,109.54
19-Feb,17,110.4
19-Mar,20,111.25
19-Apr,21,111.95
19-May,18,112.46
19-Jun,21,112.85
19-Jul,22,113.2
19-Aug,20,113.53
19-Sep,19,113.81
19-Oct,19,113.95
19-Nov,24,113.88
19-Dec,27,113.51
20-Jan,25,112.95
20-Feb,24,112.36
20-Mar,20,112.07
20-Apr,19,112.64
20-May,19,114.14
20-Jun,19,116.29
20-Jul,21,118.71
20-Aug,26,121.17
20-Sep,27,123.43
20-Oct,28,125.43
20-Nov,30,127.04
20-Dec,34,128.22
21-Jan,37,128.99
21-Feb,40,129.41
21-Mar,40,129.56
21-Apr,41,129.56
21-May,41,129.63
21-Jun,40,130.13
21-Jul,38,131.26
21-Aug,39,132.68
21-Sep,38,134.1
21-Oct,39,135.41
21-Nov,37,136.44
21-Dec,38,137.38
22-Jan,36,138.32
